BEGIN_GUI_DESCR

GLOBAL_PICTURE	i_beam_tab.gif

SHOW_PARAM	DOUBLE	D
SHOW_PARAM	DOUBLE	BF
SHOW_PARAM	DOUBLE	TF
SHOW_PARAM	DOUBLE	TW

END_GUI_DESCR

BEGIN_TAB_DESCR

BEGIN_TABLE	TYPE	TYPE
SEL_STRING	BUW_TYPE	BUW_NAME	IMPORT_TYPE	SIZE_SUBTABLE
STRING	STRING	STRING	STRING	SUBTABLE
W (fractional)	W_SHAPES	W_SHAPES	W_SHAPES	SIZE_W
M (fractional)	M_SHAPES	M_SHAPES	M_SHAPES	SIZE_M
HP (fractional)	HP_SHAPES	HP_SHAPES	HP_SHAPES	SIZE_HP
AISC V14 W (fractional)	W_SHAPES	W_SHAPES	W_SHAPES_V14	SIZE_W_V14
AISC V14 M (fractional)	M_SHAPES	M_SHAPES	M_SHAPES_V14	SIZE_M_V14
AISC V14 HP (fractional)	HP_SHAPES	HP_SHAPES	HP_SHAPES_V14	SIZE_HP_V14
END_TABLE



BEGIN_SUBTABLE	SIZE_W	SIZE
SEL_STRING	BUW_SIZE	D	BF	TF	TW	R1
STRING	STRING	DOUBLE	DOUBLE	DOUBLE	DOUBLE	DOUBLE
W 27 x 235	W 27 x 235	28.625	14.25	1.625	0.9375	0.65
W 27 x 258	W 27 x 258	29	14.25	1.75	1	0.65
W 27 x 281	W 27 x 281	29.25	14.375	1.9375	1.0625	0.65
W 27 x 307	W 27 x 307	29.625	14.5	2.0625	1.1875	0.65
W 27 x 336	W 27 x 336	30	14.5	2.25	1.25	0.65
W 27 x 368	W 27 x 368	30.375	14.625	2.5	1.375	0.65
W 27 x 407	W 27 x 407	30.875	14.75	2.75	1.5	0.65
W 27 x 448	W 27 x 448	31.375	15	3	1.625	0.65
W 27 x 494	W 27 x 494	32	15.125	3.25	1.8125	0.65
W 27 x 539	W 27 x 539	32.5	15.25	3.5625	2	0.65
W 30 x 90	W 30 x 90	29.5	10.375	0.5625	0.5	0.7
W 30 x 99	W 30 x 99	29.625	10.5	0.6875	0.5	0.7
W 30 x 108	W 30 x 108	29.875	10.5	0.75	0.5625	0.7
W 30 x 116	W 30 x 116	30	10.5	0.875	0.5625	0.7
W 30 x 124	W 30 x 124	30.125	10.5	0.9375	0.5625	0.7
W 30 x 132	W 30 x 132	30.25	10.5	1	0.625	0.7
W 30 x 148	W 30 x 148	30.625	10.5	1.1875	0.625	0.7
W 30 x 173	W 30 x 173	30.5	15	1.0625	0.625	0.7
W 30 x 191	W 30 x 191	30.625	15	1.1875	0.6875	0.7
W 30 x 211	W 30 x 211	31	15.125	1.3125	0.75	0.7
W 30 x 235	W 30 x 235	31.25	15	1.5	0.8125	0.7
W 30 x 261	W 30 x 261	31.625	15.125	1.625	0.9375	0.7
W 30 x 292	W 30 x 292	32	15.25	1.875	1	0.7
W 30 x 326	W 30 x 326	32.375	15.375	2.0625	1.125	0.7
W 30 x 357	W 30 x 357	32.75	15.5	2.25	1.25	0.7
W 30 x 391	W 30 x 391	33.25	15.625	2.4375	1.375	0.7
W 30 x 433	W 30 x 433	33.625	15.75	2.6875	1.5	0.7
W 30 x 477	W 30 x 477	34.25	15.875	3	1.625	0.7
W 30 x 526	W 30 x 526	34.75	16	3.25	1.8125	0.7
W 30 x 581	W 30 x 581	35.375	16.25	3.5625	2	0.7
W 33 x 118	W 33 x 118	32.875	11.5	0.75	0.5625	0.75
W 33 x 130	W 33 x 130	33.125	11.5	0.875	0.5625	0.75
W 33 x 141	W 33 x 141	33.25	11.5	0.9375	0.625	0.75
W 33 x 152	W 33 x 152	33.5	11.625	1.0625	0.625	0.75
W 33 x 169	W 33 x 169	33.875	11.5	1.25	0.6875	0.75
W 33 x 201	W 33 x 201	33.625	15.75	1.125	0.6875	0.75
W 33 x 221	W 33 x 221	33.875	15.75	1.25	0.75	0.75
W 33 x 241	W 33 x 241	34.125	15.875	1.375	0.8125	0.75
W 33 x 263	W 33 x 263	34.5	15.75	1.5625	0.875	0.75
W 33 x 291	W 33 x 291	34.875	15.875	1.75	1	0.75
W 33 x 318	W 33 x 318	35.125	16	1.875	1.0625	0.75
W 33 x 354	W 33 x 354	35.5	16.125	2.0625	1.1875	0.75
W 33 x 387	W 33 x 387	36	16.25	2.25	1.25	0.75
W 33 x 424	W 33 x 424	36.375	16.375	2.5	1.375	0.75
W 33 x 468	W 33 x 468	36.75	16.5	2.75	1.5	0.75
W 33 x 515	W 33 x 515	37.375	16.625	3	1.625	0.75
W 33 x 567	W 33 x 567	37.875	16.75	3.25	1.8125	0.75
W 33 x 619	W 33 x 619	38.5	16.875	3.5625	2	0.75
W 36 x 135	W 36 x 135	35.5	12	0.8125	0.625	0.8
W 36 x 150	W 36 x 150	35.875	12	0.9375	0.625	0.8
W 36 x 160	W 36 x 160	36	12	1	0.625	0.8
W 36 x 170	W 36 x 170	36.125	12	1.125	0.6875	0.8
W 36 x 182	W 36 x 182	36.375	12.125	1.1875	0.75	0.8
W 36 x 194	W 36 x 194	36.5	12.125	1.25	0.75	0.8
W 36 x 210	W 36 x 210	36.75	12.125	1.375	0.8125	0.8
W 36 x 232	W 36 x 232	37.125	12.125	1.5625	0.875	0.8
W 36 x 256	W 36 x 256	37.375	12.25	1.75	1	0.8
W 36 x 230	W 36 x 230	35.875	16.5	1.25	0.75	0.8
W 36 x 245	W 36 x 245	36.125	16.5	1.375	0.8125	1.02
W 36 x 260	W 36 x 260	36.25	16.5	1.4375	0.8125	1.02
W 36 x 280	W 36 x 280	36.5	16.625	1.5625	0.875	1.02
W 36 x 300	W 36 x 300	36.75	16.625	1.6875	0.9375	1.02
W 36 x 328	W 36 x 328	37.125	16.625	1.875	1	1.02
W 36 x 359	W 36 x 359	37.375	16.75	2	1.125	1.02
W 36 x 393	W 36 x 393	37.75	16.875	2.1875	1.25	1.02
W 36 x 439	W 36 x 439	38.25	17	2.4375	1.375	1.02
W 36 x 485	W 36 x 485	38.75	17.125	2.6875	1.5	1.02
